act: Up    | ter: False | rew: -1 | pos: -0.460 | vel:  2.423
act: Up    | ter: False | rew: -1 | pos: -0.116 | vel:  4.489
act: Idle  | ter: False | rew: -1 | pos:  0.274 | vel:  3.300
act: Down  | ter: False | rew: -1 | pos:  0.459 | vel:  0.359
act: Down  | ter: False | rew: -1 | pos:  0.353 | vel: -2.496
act: Up    | ter: False | rew: -1 | pos:  0.200 | vel: -0.561
act: Up    | ter: False | rew: -1 | pos:  0.255 | vel:  1.685
act: Down  | ter: False | rew: -1 | pos:  0.302 | vel: -0.757
act: Up    | ter: False | rew: -1 | pos:  0.316 | vel:  1.060
act: Down  | ter: False | rew: -1 | pos:  0.302 | vel: -1.372
act: Up    | ter: False | rew: -1 | pos:  0.258 | vel:  0.504
act: Down  | ter: False | rew: -1 | pos:  0.191 | vel: -1.863
act: Up    | ter: False | rew: -1 | pos:  0.101 | vel:  0.077
act: Down  | ter: False | rew: -1 | pos: -0.006 | vel: -2.227
act: Down  | ter: False | rew: -1 | pos: -0.352 | vel: -4.726
act: Up    | ter: False | rew: -1 | pos: -0.713 | vel: -2.473
act: Up    | ter: False | rew: -1 | pos: -0.834 | vel:  0.078
act: Up    | ter: False | rew: -1 | pos: -0.710 | vel:  2.428
act: Up    | ter: False | rew: -1 | pos: -0.364 | vel:  4.522
act: Idle  | ter: False | rew: -1 | pos:  0.031 | vel:  3.357
act: Down  | ter: False | rew: -1 | pos:  0.222 | vel:  0.437
act: Down  | ter: False | rew: -1 | pos:  0.125 | vel: -2.399
act: Up    | ter: False | rew: -1 | pos: -0.018 | vel: -0.448
act: Up    | ter: False | rew: -1 | pos:  0.049 | vel:  1.810
act: Down  | ter: False | rew: -1 | pos:  0.110 | vel: -0.622
act: Up    | ter: False | rew: -1 | pos:  0.138 | vel:  1.202
act: Down  | ter: False | rew: -1 | pos:  0.138 | vel: -1.225
act: Up    | ter: False | rew: -1 | pos:  0.108 | vel:  0.654
act: Down  | ter: False | rew: -1 | pos:  0.057 | vel: -1.712
act: Up    | ter: False | rew: -1 | pos: -0.019 | vel:  0.228
act: Down  | ter: False | rew: -1 | pos: -0.110 | vel: -2.079
act: Up    | ter: False | rew: -1 | pos: -0.219 | vel: -0.082
act: Up    | ter: False | rew: -1 | pos: -0.116 | vel:  2.166
act: Up    | ter: False | rew: -1 | pos:  0.202 | vel:  4.216
act: Idle  | ter: False | rew: 1  | pos:  0.564 | vel:  3.019
act: Down  | ter: False | rew: 1  | pos:  0.721 | vel:  0.075
act: Down  | ter: False | rew: 1  | pos:  0.587 | vel: -2.780
act: Up    | ter: False | rew: -1 | pos:  0.405 | vel: -0.841
act: Up    | ter: False | rew: -1 | pos:  0.432 | vel:  1.412
act: Down  | ter: False | rew: -1 | pos:  0.453 | vel: -1.022
act: Up    | ter: False | rew: -1 | pos:  0.441 | vel:  0.806
act: Down  | ter: False | rew: -1 | pos:  0.402 | vel: -1.613
