act: Down  | ter: False | rew: 2  | pos:  2.348 | vel: -2.059
act: Up    | ter: False | rew: 1  | pos:  2.227 | vel: -0.341
act: Up    | ter: False | rew: 2  | pos:  2.292 | vel:  1.660
act: Down  | ter: False | rew: 2  | pos:  2.326 | vel: -1.008
act: Up    | ter: False | rew: 2  | pos:  2.305 | vel:  0.607
act: Down  | ter: False | rew: 1  | pos:  2.237 | vel: -2.000
act: Up    | ter: False | rew: 1  | pos:  2.122 | vel: -0.276
act: Up    | ter: False | rew: 1  | pos:  2.194 | vel:  1.730
act: Down  | ter: False | rew: 1  | pos:  2.235 | vel: -0.935
act: Up    | ter: False | rew: 1  | pos:  2.221 | vel:  0.683
act: Down  | ter: False | rew: 1  | pos:  2.161 | vel: -1.923
act: Up    | ter: False | rew: 1  | pos:  2.054 | vel: -0.198
act: Up    | ter: False | rew: 1  | pos:  2.133 | vel:  1.807
act: Down  | ter: False | rew: 1  | pos:  2.182 | vel: -0.859
act: Down  | ter: False | rew: -1 | pos:  1.953 | vel: -3.743
act: Up    | ter: False | rew: -1 | pos:  1.673 | vel: -1.852
act: Up    | ter: False | rew: -1 | pos:  1.597 | vel:  0.365
act: Up    | ter: False | rew: -1 | pos:  1.735 | vel:  2.411
act: Up    | ter: False | rew: 1  | pos:  2.066 | vel:  4.232
act: Down  | ter: False | rew: 2  | pos:  2.346 | vel:  1.324
act: Down  | ter: False | rew: 2  | pos:  2.323 | vel: -1.808
act: Up    | ter: False | rew: 1  | pos:  2.224 | vel: -0.162
act: Up    | ter: False | rew: 2  | pos:  2.305 | vel:  1.814
act: Down  | ter: False | rew: 2  | pos:  2.354 | vel: -0.872
act: Up    | ter: False | rew: 2  | pos:  2.346 | vel:  0.726
act: Down  | ter: False | rew: 2  | pos:  2.288 | vel: -1.899
act: Up    | ter: False | rew: 1  | pos:  2.183 | vel: -0.191
act: Up    | ter: False | rew: 2  | pos:  2.262 | vel:  1.799
act: Down  | ter: False | rew: 2  | pos:  2.310 | vel: -0.880
act: Up    | ter: False | rew: 2  | pos:  2.301 | vel:  0.723
act: Down  | ter: False | rew: 1  | pos:  2.244 | vel: -1.896
act: Up    | ter: False | rew: 1  | pos:  2.139 | vel: -0.183
act: Up    | ter: False | rew: 1  | pos:  2.219 | vel:  1.811
act: Down  | ter: False | rew: 2  | pos:  2.268 | vel: -0.865
act: Up    | ter: False | rew: 2  | pos:  2.261 | vel:  0.742
act: Down  | ter: False | rew: 1  | pos:  2.205 | vel: -1.875
act: Up    | ter: False | rew: 1  | pos:  2.103 | vel: -0.160
act: Up    | ter: False | rew: 1  | pos:  2.186 | vel:  1.835
act: Down  | ter: False | rew: 1  | pos:  2.237 | vel: -0.839
